Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OneCS App Android,,Android Suite Run,,2023-06-07 11:40:21,2023-06-07 11:40:29,7.972s,FAILED
,,,,,,,
Test Cases/Modules/SignIn Module,,Verifying Sign Features,SignIn,2023-06-07 11:40:28,2023-06-07 11:40:29,1.051s,FAILED
"runFeatureFile(""Include/features/OneCSMobile-SignIn_Registration.feature"")",,,,2023-06-07 11:40:28,2023-06-07 11:40:29,1.045s,FAILED
,,,,,,,
Test Cases/Modules/More Module,,Verify the  MORE screen details,More,2023-06-07 11:40:29,2023-06-07 11:40:29,0.099s,FAILED
"runFeatureFile(""Include/features/Android_More.feature.feature"")",,,,2023-06-07 11:40:29,2023-06-07 11:40:29,0.094s,FAILED
