Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
OneCS App Android,,Android Suite Run,,2023-06-12 18:30:28,2023-06-12 18:34:09,3m - 40.800s,ERROR
,,,,,,,
Test Cases/Sign In/2.01_Android,,Verify the details displayed on the Sign In Welcome Screen,SignIn,2023-06-12 18:31:17,2023-06-12 18:32:02,44.673s,ERROR
"startApplication(bsApp, true)",,,,2023-06-12 18:31:17,2023-06-12 18:31:55,37.737s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/logo""), 0)",,,,2023-06-12 18:31:55,2023-06-12 18:31:57,1.805s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/Create a secure""), 0)",,,,2023-06-12 18:31:57,2023-06-12 18:31:57,0.320s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Sign in Button""), ""Sign in"")",,,,2023-06-12 18:31:57,2023-06-12 18:31:57,0.487s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Dont have an account""), ""Don't have an account?"")",,,,2023-06-12 18:31:57,2023-06-12 18:31:58,0.511s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Create one on our website""), ""Create one on our website"")",,,,2023-06-12 18:31:58,2023-06-12 18:31:58,0.412s,PASSED
"tap(findTestObject(""Object Repository/Android Objects/Create one on our website""), 0)",,,,2023-06-12 18:31:58,2023-06-12 18:32:00,1.925s,PASSED
"continuebutton = getText(findTestObject(""Object Repository/Android Objects/weburl""), 0)",,,,2023-06-12 18:32:00,2023-06-12 18:32:01,0.402s,PASSED
"Assert.assertEquals(continuebutton, ""charles-stanley.co.uk/services/save"")",,,,2023-06-12 18:32:01,2023-06-12 18:32:01,0.001s,PASSED
pressBack(),,,,2023-06-12 18:32:01,2023-06-12 18:32:01,0.713s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Android Objects/logo""), 0)",,,,2023-06-12 18:32:01,2023-06-12 18:32:02,0.342s,PASSED
getDriver().closeApp(),,,,2023-06-12 18:32:02,2023-06-12 18:32:02,0.005s,ERROR
Start listener action : sampleAfterTestCase,,,,2023-06-12 18:32:02,2023-06-12 18:32:02,0.001s,PASSED
,,,,,,,
Test Cases/Sign In/2.02_Android,,"To verify the details displayed on the ""Sign In Registration"" Screens",SignIn,2023-06-12 18:32:02,2023-06-12 18:34:09,2m - 7.086s,PASSED
"startApplication(bsApp, true)",,,,2023-06-12 18:32:02,2023-06-12 18:33:59,1m - 56.817s,PASSED
"tap(findTestObject(""Object Repository/Android Objects/Sign in Button""), 0)",,,,2023-06-12 18:33:59,2023-06-12 18:34:01,2.380s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Sign in step 1 of 4""), ""Sign in step 1 of 4"")",,,,2023-06-12 18:34:01,2023-06-12 18:34:02,0.995s,PASSED
"verifyElementExist(findTestObject(""Object Repository/Android Objects/X_Button""), 0)",,,,2023-06-12 18:34:02,2023-06-12 18:34:02,0.353s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Username  password""), ""Username & password"")",,,,2023-06-12 18:34:02,2023-06-12 18:34:03,0.501s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/android.widget.TextView - Please enter your username and password associated with your Charles Stanley account""), ""Please enter your username and password associated with your Charles Stanley account."")",,,,2023-06-12 18:34:03,2023-06-12 18:34:03,0.433s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Usernamefiled""), """")",,,,2023-06-12 18:34:03,2023-06-12 18:34:04,0.676s,PASSED
"verifyElementText(findTestObject(""Object Repository/Android Objects/Passwordfiled""), """")",,,,2023-06-12 18:34:04,2023-06-12 18:34:06,2.458s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Android Objects/eyebuttoninsignin""), 0)",,,,2023-06-12 18:34:06,2023-06-12 18:34:07,0.475s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/SignIn/android.widget.TextView - Ive forgotten my details""), 0)",,,,2023-06-12 18:34:07,2023-06-12 18:34:07,0.505s,PASSED
getDriver().closeApp(),,,,2023-06-12 18:34:07,2023-06-12 18:34:08,0.201s,PASSED
getDriver().quit(),,,,2023-06-12 18:34:08,2023-06-12 18:34:09,1.204s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-06-12 18:34:09,2023-06-12 18:34:09,0.000s,PASSED
