Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DataDriven,Chrome 114.0.0.0,,,2023-06-06 11:21:25,2023-06-06 11:23:22,1m - 56.349s,FAILED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:21:26,2023-06-06 11:21:36,10.500s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:21:26,2023-06-06 11:21:28,2.032s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:21:28,2023-06-06 11:21:32,4.024s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:21:32,2023-06-06 11:21:33,0.674s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:21:33,2023-06-06 11:21:33,0.617s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:21:33,2023-06-06 11:21:34,0.559s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:21:34,2023-06-06 11:21:36,1.973s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:21:36,2023-06-06 11:21:36,0.317s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:21:36,2023-06-06 11:21:45,8.259s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:21:36,2023-06-06 11:21:38,1.699s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:21:38,2023-06-06 11:21:40,2.473s,PASSED
