Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:21:40,2023-06-06 11:21:41,0.639s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:21:41,2023-06-06 11:21:42,0.616s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:21:42,2023-06-06 11:21:42,0.454s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:21:42,2023-06-06 11:21:44,2.059s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:21:44,2023-06-06 11:21:45,0.302s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:22:16,2023-06-06 11:22:26,10.388s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:22:16,2023-06-06 11:22:17,1.753s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:22:17,2023-06-06 11:22:21,3.617s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:22:21,2023-06-06 11:22:22,0.640s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:22:22,2023-06-06 11:22:22,0.611s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:22:22,2023-06-06 11:22:23,0.557s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:22:23,2023-06-06 11:22:24,1.673s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:22:24,2023-06-06 11:22:26,1.526s,FAILED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:22:26,2023-06-06 11:22:35,9.513s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:22:26,2023-06-06 11:22:28,1.759s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:22:28,2023-06-06 11:22:32,3.860s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:22:32,2023-06-06 11:22:32,0.638s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:22:32,2023-06-06 11:22:33,0.643s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:22:33,2023-06-06 11:22:33,0.454s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:22:33,2023-06-06 11:22:35,1.847s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:22:35,2023-06-06 11:22:35,0.299s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:22:36,2023-06-06 11:22:45,9.552s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:22:36,2023-06-06 11:22:37,1.654s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:22:37,2023-06-06 11:22:41,3.714s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:22:41,2023-06-06 11:22:42,0.637s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:22:42,2023-06-06 11:22:42,0.615s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:22:42,2023-06-06 11:22:43,0.457s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:22:43,2023-06-06 11:22:45,2.165s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:22:45,2023-06-06 11:22:45,0.300s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:23:13,2023-06-06 11:23:22,9.097s,FAILED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:23:13,2023-06-06 11:23:14,1.665s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:23:14,2023-06-06 11:23:17,2.373s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:23:17,2023-06-06 11:23:17,0.649s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:23:17,2023-06-06 11:23:18,0.638s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:23:18,2023-06-06 11:23:19,0.558s,PASSED
"verifyElementVisible(findTestObject(""Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:23:19,2023-06-06 11:23:20,1.677s,PASSED
"verifyElementText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/Page_Portal/h2_Enter the verification code we have sent_0a5385""), ""Enter the verification code we have sent to your mobile phone"")",Chrome 114.0.0.0,,,2023-06-06 11:23:20,2023-06-06 11:23:22,1.525s,FAILED
