Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:13:22,2023-06-06 11:13:23,0.558s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:13:23,2023-06-06 11:13:24,1.967s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:13:25,2023-06-06 11:13:32,7.982s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:13:25,2023-06-06 11:13:26,1.675s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:13:26,2023-06-06 11:13:29,2.505s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:13:29,2023-06-06 11:13:29,0.648s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:13:29,2023-06-06 11:13:30,0.614s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:13:30,2023-06-06 11:13:31,0.560s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:13:31,2023-06-06 11:13:32,1.967s,PASSED
,,,,,,,
Test Cases/Secure Portal DD,Chrome 114.0.0.0,Testing With Different usernames and password combinations,DataDriven,2023-06-06 11:13:33,2023-06-06 11:13:40,7.896s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-06-06 11:13:33,2023-06-06 11:13:34,1.761s,PASSED
navigateToUrl(SecurePortal),Chrome 114.0.0.0,,,2023-06-06 11:13:34,2023-06-06 11:13:37,2.486s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Username_username""), Username)",Chrome 114.0.0.0,,,2023-06-06 11:13:37,2023-06-06 11:13:37,0.639s,PASSED
"setText(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/input_Password_password""), Password)",Chrome 114.0.0.0,,,2023-06-06 11:13:37,2023-06-06 11:13:38,0.646s,PASSED
"click(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/button_Continue""))",Chrome 114.0.0.0,,,2023-06-06 11:13:38,2023-06-06 11:13:39,0.556s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/Secure Portal DD/Page_Portal/h2_Enter the verification code we have sent_0a5385""))",Chrome 114.0.0.0,,,2023-06-06 11:13:39,2023-06-06 11:13:40,1.795s,PASSED
